node,total_income,total_traffic,failed_traffic_ratio,opt_delta,income_diff
02df5ffe895c778e10f7742a6c5b8a0cefbe9465df58b92fadeb883752c8107c8f,78.4,49,0.5714285714285714,28.9,958.5999999999999
02f45d28f3477a408d0d3e18a6cdedae9d58df18cf271ac84a0ce7d00699f38d19,78.0,12,0.0,24.0,105.0
02725e5abcbf5550fc29e6b19706a1377f25d2b1502684f9be9965b6deac167520,69.96000000000001,66,0.0,595.29,2911.79
032cc4541b25e86e39a7d450a979c1a9adbe2878df3a93fcb59c96c700bfe26aa3,63.56999999999999,39,0.10256410256410256,605.31,2971.1299999999997
03cb7983dc247f9f81a0fa2dfa3ce1c255365f7279c8dd143e086ca333df10e278,56.70600000000001,78,0.28205128205128205,29.77,980.192
03a5927b64b1ea8657d5b770d61a3e2d0554fdb5d568773e0d6a92907913ca21f6,52.349999999999994,50,0.18,58.95,1147.5900000000001
0374ecf61ed6c1208c42339f47decde2bc0c4393ac95f07827b3471e939d7eb961,41.34,39,0.0,58.61,257.01
032b2b3f4abda9677bb9563e226c068d3a2456fb8b036635a81c9bcaa1671d1ada,40.28,38,0.5,28.15,689.97
0242a4ae0c5bef18048fbecf995094b74bfb0f7391418d71ed394784373f41e4f3,38.160000000000004,36,0.1388888888888889,599.94,5370.84
028303182c9885da93b3b25c9621d22cf34475e63c123942e402ab530c0556e675,35.0,5,0.6,595.06,2373.24
023c1f3d0efc623da2829a41426b324245133f99840363435c2e98086de3494bb7,35.0,5,0.2,594.0,1167.0
03bb88ccc444534da7b5b64b4f7b15e1eccb18e102db0e400d4b9cfe93763aa26d,34.34666666666667,153,0.08496732026143791,58.31,2246.75
03f88ce6b35c7f268bf0c70d87c616ea2fdabeadb0c830d02b126db8bebadf79c3,32.24,4,0.0,53.0,28.82
026400d315418e167b29fccdc965010ea1f8f8c8ddbc4a790d77491d8478a4b661,29.889999999999997,1,0.0,0.0,0.0
02690881543d633f3a16c8ff97397f3f2e8765a15f5ac057d701243e5adb7ba856,29.68,28,0.2857142857142857,58.94,630.3199999999999
023e8b9d0c52dc22d07f70a69624e2457df5760ca0b4d87a5df460b08863f46448,29.68,28,0.17857142857142858,148.88,1019.9
03f8ab9b7496be92ce370e0224661d5d2de80bca8f505d66f1226d0e6002007d2a,28.0,4,0.0,594.0,573.0
031a1d89bae752c071fcdac24ecc00059a4fbb583ed15003d09aa94c8fd6242af3,28.0,4,0.25,23.5,94.0
0348e881b4474d71c1f0825f54e3d99e487ece8a41f3fbf1c4de469833ab27206c,28.0,4,1.0,0.0,0.0
02f3069a342ae2883a6f29e275f06f28a56a6ea2e2d96f5888a3266444dcf542b6,27.560000000000002,26,0.038461538461538464,29.44,155.44000000000003
0290fb6ecd5865f7a973e1d48ffbc2612f80f6a2defbd6a188928bd0492bc2847e,26.96,8,0.0,157.69,134.1
026bce917a5854f3c5140cc69c977d19a6d656554120b6dedf045b246941b858c5,26.64,72,0.013888888888888888,59.63,933.36
031678745383bd273b4c3dbefc8ffbf4847d85c2f62d3407c0c980430b3257c403,26.5,25,0.64,23.5,440.14
03205b045b0126c0d3fb826a38b9befc4babf51689544908c704d8e51fdec75ffb,26.0,4,0.0,47.5,28.0
02b0172bb38617fa3afdb69664468b492d5a21062a4fa8b47284b0cc320e6e7420,23.83,37,0.05405405405405406,59.45,156.674
0391489a933ab83094d1af43b3df3e8c8d467474649361912f05211d0e68a28fc9,23.32,22,0.36363636363636365,595.06,5937.879999999999
038df0bd2fad1bfe42d177f18ea5e33543e2b855ef369d06bd94b81d2c87187c82,22.400000000000002,14,0.0,599.4,578.6
0314ecd09f2c9887530ed99436a20dd62607fa0fa0a8d0e2f630cf27f86e91e5f9,21.0,3,1.0,0.0,0.0
035f3a87393269e9bfb594f9ed6d2d3551ff527889be510429a8fa99736d710fdb,21.0,3,0.3333333333333333,0.0,0.0
020e56a13babec99abdc2c4afbe34e1e44230d79b234c059fd4ff1e367765fdb1b,20.68,28,0.07142857142857142,600.94,1784.3200000000002
03012a23c769decc4fb40a92d5300692b576cb8dc887072580638b97911742554c,20.669999999999998,21,0.23809523809523808,58.95,637.9000000000001
0234c548106512a0b93b2555d2638bc2fed3e6b091f75298383356258996230d92,20.14,17,0.6470588235294118,58.94,701.9799999999999
03c2abfa93eacec04721c019644584424aab2ba4dff3ac9bdab4e9c97007491dda,19.080000000000002,18,0.0,599.94,581.92
02ad6fb8d693dc1e4569bcedefadf5f72a931ae027dc0f0c544b34c1c6f3b9a02b,18.4405,307,0.13029315960912052,30.44,4343.070500000001
03649c72a4816f0cd546f84aafbd657e92a30ab474de7ab795e8b5650a427611f7,17.6,11,0.6363636363636364,58.4,462.40000000000003
0327049d8d63f0c40193cdf3afc61817c8647808a4e482de0716fcef74e6d92ebf,16.953,16,0.375,0.0,0.0
02c12b5459cf107ee0440cae41902f1189db50fa003a077f3a6fbe6b5760218695,16.8,30,0.0,600.44,584.2
029d50d59c78b81a39f4ca40b6bc9b89710542a31429b69aa075b91b587979205d,14.84,14,0.5,5.94,76.16
0260fab633066ed7b1d9b9b8a0fac87e1579d1709e874d28a0d171a1f5c43bb877,14.84,14,0.0,58.94,165.16
020f49831fd13556e5b03239df888ca031edaebe5b4efccd52d2f5c6742a743ad6,14.4,9,0.0,0.0,0.0
03780bc0d405f8e9695a4474a03ed3314d761cfa3baf3ea8351c025d66399f969d,14.0,4,0.0,0.0,0.0
027ba5217fecd12ebb621e51b88b8c9640cce659bd894f4c8e820e09173826fca2,14.0,2,0.5,22.44,44.88
031c9a7f2243a1aaa88ea00665760cf8e74a4614d9657316b992dc350d624b22d4,14.0,2,1.0,0.0,0.0
03efccf2c383d7bf340da9a3f02e2c23104a0e4fe8ac1a880c8e2dc92fbdacd9df,13.794,6,0.0,27.2,15.705
0373ca948ffd4cbbd08488c480aa7c43b57e9446c8ac6d3fe1cc92392e39e9eb95,13.780000000000001,13,0.38461538461538464,58.94,406.21999999999997
02c69a0b4cb468660348d6d457d9212563ad08fb94d424395da6796fb74a13f276,13.780000000000001,13,0.07692307692307693,23.94,111.22
0205823109f3d6e1ac5f3e5ab41ab88bf463ffa7b59a81d07d8b688fb737e11955,13.780000000000001,13,0.38461538461538464,5.94,35.22
02f6725f9c1c40333b67faea92fd211c183050f28df32cac3f9d69685fe9665432,12.8,8,0.875,605.35,4842.8
024b82d69859d63f9fce375041a34e61f4bfd445494b41d873ae7505322323d384,12.8,8,0.875,540.07,4320.56
024bda1ec91b277d311aa60d04b1fb856efcc7897c876746b680c1f985fe973f73,12.72,12,0.0,5.94,1.2799999999999976
02e7c42ae2952d7a71398e23535b53ffc60deb269acbc7c10307e6b797b91b1e79,12.72,12,0.0,80.0,149.4
027cf99e95e346897a6f88212d5240fa790e3b4c97581bcffa354de10128998ce7,12.2,2,0.0,0.0,0.0
03295d2e292565743a40bd44da227a820f8730877bc3dfadebade8785bcf355258,11.780000000000001,13,0.15384615384615385,59.94,169.72
03f9ceb115a119594b4688ceed35feb80f33a3dd0f5cf688a7493c1a7217633931,11.66,11,0.5454545454545454,0.0,0.0
